No,Kabupaten,Kecamatan,Y1,Y2,X1,X2,X3,X4,X5
1,Trenggalek,Panggul,1,1,6.028,11.071,2.920,0.728,51.23
2,Trenggalek,Munjungan,0,0,6.318,10.877,4.072,0.731,37.71
3,Trenggalek,Watulimo,0,0,5.711,13.748,2.821,1.112,31.25
4,Trenggalek,Kampak,4,1,6.827,16.562,2.658,0.374,34.87
5,Trenggalek,Dongko,2,2,6.837,21.393,2.082,0.798,37.55
6,Trenggalek,Pule,2,1,5.723,17.811,6.612,0.182,52.24
7,Trenggalek,Karangan,2,2,6.229,15.183,3.725,0.613,37.02
8,Trenggalek,Suruh,1,1,7.144,6.789,1.096,0.088,41.71
9,Trenggalek,Gandusari,0,0,6.034,15.553,4.621,0.041,37.59
10,Trenggalek,Durenan,2,1,6.961,23.436,2.701,0.120,49.77
11,Trenggalek,Pogalan,1,1,7.458,25.746,3.216,1.401,33.74
12,Trenggalek,Trenggalek,4,4,7.821,34.954,9.121,0.764,21.62
13,Trenggalek,Tugu,1,1,7.337,25.927,13.310,0.352,24.59
14,Trenggalek,Bendungan,4,2,7.083,21.110,2.970,0.593,44.92
15,Ponorogo,Ngrayun,0,0,5.896,17.081,3.763,0.647,44.44
16,Ponorogo,Slahung,0,0,6.906,14.499,5.152,0.359,44.21
17,Ponorogo,Bungkal,3,2,6.771,9.456,3.953,0.809,55.55
18,Ponorogo,Sambit,2,1,6.175,10.924,2.142,0.856,41.24
19,Ponorogo,Sawoo,1,1,6.357,13.766,2.409,0.781,46.33
20,Ponorogo,Sooko,0,0,6.245,9.296,1.406,1.023,48.36
21,Ponorogo,Pudak,0,0,7.268,6.491,0.331,2.512,60.98
22,Ponorogo,Pulung,0,2,7.057,13.384,1.430,0.800,37.39
23,Ponorogo,Mlarak,0,0,7.055,12.456,0.431,0.178,33.75
24,Ponorogo,Siman,0,5,7.054,12.347,3.775,0.717,16.66
25,Ponorogo,Jetis,1,1,7.056,12.296,3.198,0.375,39.01
26,Ponorogo,Balong,0,0,7.055,12.840,1.611,0.592,58.09
27,Ponorogo,Kauman,0,1,7.056,13.281,0.655,0.767,55.46
28,Ponorogo,Jambon,0,0,7.058,12.036,0.725,0.297,39.13
29,Ponorogo,Badegan,0,0,7.056,12.664,1.434,0.878,48.45
30,Ponorogo,Sampung,0,2,7.056,12.172,0.729,1.069,28.60
31,Ponorogo,Sukorejo,0,1,7.056,12.219,0.688,0.501,25.88
32,Ponorogo,Ponorogo,0,1,7.057,12.365,1.446,0.847,31.06
33,Ponorogo,Babadan,0,3,7.058,12.588,1.394,0.492,27.65
34,Ponorogo,Jenangan,0,1,7.057,12.48,2.533,1.012,41.06
35,Ponorogo,Ngebel,0,0,7.056,12.643,0.153,0.094,58.87
